                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7391,                 4.3356,                 1.3993,                0.75289,                0.04177,                0.04502,                0.02246,                 2.7179,                 3.4549,                 1.1915,              0.0001732,              0.0001732,              0.0001732
                      2,                 2.6098,                 2.8378,                 1.1871,                0.62344,                0.10015,                0.08032,                0.04392,                 2.6821,                 2.6873,                 1.1637,             0.00033128,             0.00033128,             0.00033128
                      3,                 2.4888,                 2.2508,                 1.1502,                0.52554,                0.13254,                 0.1149,                0.05676,                 2.4802,                 2.2861,                 1.1601,               0.000472,               0.000472,               0.000472
                      4,                 2.4172,                 2.0096,                 1.1408,                0.56415,                0.14806,                0.14394,                0.07324,                 2.4829,                 2.2765,                 1.1764,             0.00044789,             0.00044789,             0.00044789
                      5,                 2.3635,                 1.8191,                 1.1051,                0.58939,                0.15664,                0.14465,                0.07267,                 2.4933,                 1.9334,                 1.1108,             0.00042185,             0.00042185,             0.00042185
                      6,                 2.3091,                 1.7326,                 1.0924,                 0.6167,                0.16964,                0.16204,                0.08445,                 2.3528,                 1.8014,                 1.0895,             0.00039581,             0.00039581,             0.00039581
                      7,                 2.2808,                 1.6713,                 1.0888,                0.65822,                0.17739,                0.18024,                0.09099,                 2.2983,                 1.6573,                 1.0766,             0.00036978,             0.00036978,             0.00036978
                      8,                 2.2188,                   1.61,                 1.0683,                0.58052,                0.17638,                0.17994,                 0.0949,                 2.2805,                 1.6485,                 1.0806,             0.00034374,             0.00034374,             0.00034374
                      9,                 2.2239,                 1.5496,                 1.0667,                0.60484,                0.19338,                0.18664,                0.09795,                  2.253,                 1.5831,                 1.0638,              0.0003177,              0.0003177,              0.0003177
                     10,                  2.196,                 1.5293,                 1.0636,                0.52595,                0.20292,                0.19627,                0.10427,                 2.1908,                 1.5382,                 1.0613,             0.00029167,             0.00029167,             0.00029167
                     11,                 2.0953,                 1.5126,                 1.0504,                  0.645,                0.18887,                0.19457,                0.10094,                 2.2151,                 1.5679,                 1.0684,             0.00026563,             0.00026563,             0.00026563
                     12,                  2.046,                 1.4649,                 1.0415,                0.60288,                0.19393,                0.20277,                0.10685,                 2.1998,                 1.5129,                 1.0495,             0.00023959,             0.00023959,             0.00023959
                     13,                 2.0513,                 1.4181,                 1.0358,                0.55514,                0.20395,                0.20711,                0.10988,                 2.1748,                 1.5266,                 1.0395,             0.00021356,             0.00021356,             0.00021356
                     14,                 2.0376,                 1.4023,                 1.0293,                0.71892,                0.20445,                0.21564,                0.11408,                 2.1509,                 1.4462,                 1.0425,             0.00018752,             0.00018752,             0.00018752
                     15,                 2.0112,                  1.366,                  1.028,                0.62146,                0.21913,                0.22191,                0.11657,                 2.1651,                 1.4376,                 1.0401,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.9857,                 1.3465,                 1.0274,                0.57087,                0.22804,                0.22361,                0.11955,                 2.1589,                 1.4704,                 1.0327,             0.00013544,             0.00013544,             0.00013544
                     17,                  1.978,                 1.3116,                 1.0151,                 0.6131,                0.22286,                0.22505,                0.12229,                 2.1225,                 1.4064,                 1.0351,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.9402,                 1.3102,                 1.0177,                0.61544,                0.22165,                0.22957,                0.12499,                 2.0943,                 1.4065,                 1.0244,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.8979,                 1.2641,                 1.0061,                0.64732,                0.22881,                0.23332,                0.12619,                 2.0894,                 1.3945,                 1.0207,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                 1.8852,                  1.266,                 1.0033,                0.64022,                0.22722,                0.23441,                0.12672,                 2.0823,                 1.3846,                 1.0182,             3.1297e-05,             3.1297e-05,             3.1297e-05
